"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Dec 11 19:56:14 GMT 2022","Sun Dec 11 19:56:22 GMT 2022","7243","ui_tests","test_cases_page","TestCasesPage","","","User can see the 3 case","
        test checks availability of each case page(doesn't check content!)
        "
"failed","Sun Dec 11 19:58:08 GMT 2022","Sun Dec 11 19:58:17 GMT 2022","8307","ui_tests","test_form_from_main_page","TestMainPageForm","","","User sends a correct data into the form","User is scrolling to the bottom and sends correct data"
"passed","Sun Dec 11 20:00:01 GMT 2022","Sun Dec 11 20:00:04 GMT 2022","2786","ui_tests","test_main_page","TestMainPage","","","User can see and go to the cases link","
        user can go to all top links from the main page
        "
"passed","Sun Dec 11 19:58:49 GMT 2022","Sun Dec 11 19:58:52 GMT 2022","3384","ui_tests","test_form_from_main_page","TestMainPageForm","","","User sends an incorrect data into the request form","User is scrolling to the bottom and sends wrong data"
"passed","Sun Dec 11 19:59:26 GMT 2022","Sun Dec 11 19:59:30 GMT 2022","3744","ui_tests","test_main_page","TestMainPage","","","User can see and go to the cases link","
        user can go to all top links from the main page
        "
"passed","Sun Dec 11 20:00:36 GMT 2022","Sun Dec 11 20:00:38 GMT 2022","2702","ui_tests","test_main_page","TestMainPage","","","User can see and go to the policy link","
        user can go to all bottom links from the main page
        "
"failed","Sun Dec 11 20:00:34 GMT 2022","Sun Dec 11 20:00:42 GMT 2022","8085","ui_tests","test_cases_page","TestCasesPage","","","User can see the 7 case","
        test checks availability of each case page(doesn't check content!)
        "
"passed","Sun Dec 11 19:58:28 GMT 2022","Sun Dec 11 19:58:32 GMT 2022","3842","ui_tests","test_form_from_main_page","TestMainPageForm","","","User sends an incorrect data into the request form","User is scrolling to the bottom and sends wrong data"
"passed","Sun Dec 11 19:59:50 GMT 2022","Sun Dec 11 19:59:52 GMT 2022","2157","ui_tests","test_main_page","TestMainPage","","","User can see and go to the  link","
        user can go to all top links from the main page
        "
"failed","Sun Dec 11 19:55:19 GMT 2022","Sun Dec 11 19:55:28 GMT 2022","9049","ui_tests","test_cases_page","TestCasesPage","","","User can see the 1 case","
        test checks availability of each case page(doesn't check content!)
        "
"failed","Sun Dec 11 19:56:41 GMT 2022","Sun Dec 11 19:56:48 GMT 2022","7270","ui_tests","test_cases_page","TestCasesPage","","","User can see the 9 case","
        test checks availability of each case page(doesn't check content!)
        "
"passed","Sun Dec 11 19:59:02 GMT 2022","Sun Dec 11 19:59:06 GMT 2022","3533","ui_tests","test_form_from_main_page","TestMainPageForm","","","User sends an incorrect data into the request form","User is scrolling to the bottom and sends wrong data"
"failed","Sun Dec 11 19:59:26 GMT 2022","Sun Dec 11 19:59:33 GMT 2022","7474","ui_tests","test_cases_page","TestCasesPage","","","User can see the 5 case","
        test checks availability of each case page(doesn't check content!)
        "
"failed","Sun Dec 11 19:56:16 GMT 2022","Sun Dec 11 19:56:23 GMT 2022","7235","ui_tests","test_cases_page","TestCasesPage","","","User can see the 8 case","
        test checks availability of each case page(doesn't check content!)
        "
"passed","Sun Dec 11 19:58:19 GMT 2022","Sun Dec 11 19:58:22 GMT 2022","3614","ui_tests","test_form_from_main_page","TestMainPageForm","","","User sends an incorrect data into the request form","User is scrolling to the bottom and sends wrong data"
"failed","Sun Dec 11 19:56:39 GMT 2022","Sun Dec 11 19:56:46 GMT 2022","7287","ui_tests","test_cases_page","TestCasesPage","","","User can see the 4 case","
        test checks availability of each case page(doesn't check content!)
        "
"failed","Sun Dec 11 19:57:26 GMT 2022","Sun Dec 11 19:57:33 GMT 2022","7670","ui_tests","test_cases_page","TestCasesPage","","","User can see the 1 case","
        test checks availability of each case page(doesn't check content!)
        "
